"","index","date","player","old_club","new_club","fee"
"76",31,2020-07-01,"Ollie Clarke","Bristol Rovers","Mansfield Town","Free"
"77",32,2020-07-01,"Pape Gueye","Le Havre","Watford","Undisclosed"
"78",33,2020-07-01,"Fraser Hornby","Everton","Reims","Undisclosed"
"79",34,2020-07-01,"Pablo Marí","Flamengo","Arsenal","£7.2m"
"80",35,2020-07-01,"Álvaro Morata","Chelsea","Atlético Madrid","£50.4m"
"81",36,2020-07-01,"Nathan","Chelsea","Atlético Mineiro","£2.7m"
"82",37,2020-07-01,"Danel Sinani","Dudelange","Norwich City","Undisclosed"
"83",38,2020-07-01,"Cédric Soares","Southampton","Arsenal","Undisclosed"
"84",39,2020-07-01,"Maarten Stekelenburg","Everton","Ajax","Free"
"85",40,2020-07-01,"Dan Sweeney","Barnet","Forest Green Rovers","Free"
"86",41,2020-07-01,"Timo Werner","RB Leipzig","Chelsea","Undisclosed"
"87",42,2020-07-01,"Offrande Zanzala","Accrington Stanley","Crewe Alexandra","Free"
"88",572,2020-07-01,"Rocky Bushiri","Norwich City","KV Mechelen","loan"
"89",573,2020-07-01,"Lucas Piazon","Chelsea","Rio Ave","loan"
"90",843,2020-07-01,"Alexis Saelemaekers","Anderlecht","Milan","Undisclosed"
"91",844,2020-07-01,"Joel Campbell","Frosinone","León","Undisclosed"
"92",43,2020-07-02,"Festus Arthur","Stockport County","Hull City","Undisclosed"
"93",44,2020-07-02,"Pape Gueye","Watford","Marseille","Undisclosed"
"94",45,2020-07-02,"Mallik Wilks","Barnsley","Hull City","Undisclosed"
"95",574,2020-07-02,"Charlie Brown","Chelsea","Union SG","loan"
"96",845,2020-07-02,"Achraf Hakimi","Real Madrid","Inter","Undisclosed"
"97",46,2020-07-03,"Nicky Cadden","Greenock Morton","Forest Green Rovers","Free"
"98",47,2020-07-03,"Mark Gillespie","Motherwell","Newcastle United","Free"
"99",48,2020-07-03,"Gustavo Hamer","PEC Zwolle","Coventry City","£1.5m"
"100",49,2020-07-03,"Leroy Sané","Manchester City","Bayern Munich","£44.7m"
"101",50,2020-07-05,"Mickel Miller","Hamilton Academical","Rotherham United","Free"
"102",51,2020-07-06,"George Cox","Brighton & Hove Albion","Fortuna Sittard","Undisclosed"
"103",52,2020-07-06,"Julien Dacosta","Chamois Niortais","Coventry City","Free"
"104",846,2020-07-06,"Luca Giudici","Monza","Lecco","Undisclosed"
"105",53,2020-07-07,"Hélder Costa","Wolverhampton Wanderers","Leeds United","£16m"
"106",54,2020-07-07,"Jack Evans","Blackburn Rovers","Forest Green Rovers","Free"
"107",55,2020-07-07,"Devante Rodney","Salford City","Port Vale","Free"
